id,dcode,sport_field_name,sport_field_type,area
1017003,1017,สวนราษฎร์บำเพ็ญ,ที่สาธารณะ (ลานกลางแจ้ง),800
1017004,1017,โรงเรียนจันทร์หุ่นบำเพ็ญ,โรงเรียนสังกัดสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,800
1017005,1017,โรงเรียนพระราม ๙ กาญจนาภิเษก,โรงเรียนสังกัดกรุงเทพมหานคร,400
1017008,1017,ชุมชนบึงพระราม 9 พัฒนา,ชุมชนทั่วไป,250
1017011,1017,ชุมชนริมคลองบางซื่อ ลาดพร้าว 34,ชุมชนทั่วไป,50
1017013,1017,สถานีตำรวจมักกะสัน,ชุมชนทั่วไป,150
1018001,1018,โรงเรียนวัดเศวตฉัตร,โรงเรียนสังกัดกรุงเทพมหานคร,200
1018002,1018,โรงเรียนวัดทองเพลง,โรงเรียนสังกัดกรุงเทพมหานคร,300
1018003,1018,โรงเรียนวัดทองธรรมชาติ,โรงเรียนสังกัดกรุงเทพมหานคร,276
1018004,1018,โรงเรียนวัดทองนพคุณ,โรงเรียนสังกัดกรุงเทพมหานคร,304
1018005,1018,โรงเรียนวัดพิชัยญาติ,โรงเรียนสังกัดกรุงเทพมหานคร,100
1018006,1018,โรงเรียนวัดสุทธาราม,โรงเรียนสังกัดกรุงเทพมหานคร,232
1018007,1018,โรงเรียนวัดสุวรรณ,โรงเรียนสังกัดกรุงเทพมหานคร,197
1018008,1018,ชุมชนมัสยิดสุวรรณภูมิ,โรงเรียนสังกัดสำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,108
1018009,1018,สวนป่าเฉลิมพระเกียรติเชิงสะพานพระปกเกล้า,ที่สาธารณะ (ลานกลางแจ้ง),1200
1018010,1018,สวนป่าเฉลิมพระเกียรติใต้สะพานสมเด็จพระเจ้าตากสินมหาราช,ที่สาธารณะ (ลานกลางแจ้ง),1600
1019001,1019,โรงเรียนฉิมพลี,โรงเรียนสังกัดกรุงเทพมหานคร,400
1019002,1019,โรงเรียนชุมทางตลิ่งชัน,โรงเรียนสังกัดกรุงเทพมหานคร,800
1019003,1019,โรงเรียนรัชฎาธิฐาน,โรงเรียนสังกัดกรุงเทพมหานคร,200
1019004,1019,โรงเรียนวัดโพธิ์ (ราษฎร์ผดุงผล),โรงเรียนสังกัดกรุงเทพมหานคร,400
1019005,1019,โรงเรียนวัดกระโจมทอง,โรงเรียนสังกัดกรุงเทพมหานคร,300
