dcode,dname,sex,age,population,age_group,age_group_range
1007,เขตปทุมวัน,female,73,244,70,65 years and older
1007,เขตปทุมวัน,male,61,244,60,15 to 64 years
1032,เขตประเวศ,male,79,244,75,65 years and older
1008,เขตป้อมปราบศัตรูพ่าย,female,7,244,5,0 to 14 years
1014,เขตพญาไท,male,1,244,0,0 to 14 years
1009,เขตพระโขนง,female,4,244,0,0 to 14 years
1010,เขตมีนบุรี,female,76,244,75,65 years and older
1012,เขตยานนาวา,female,2,244,0,0 to 14 years
1039,เขตวัฒนา,male,76,244,75,65 years and older
1028,เขตสาทร,female,80,244,80,65 years and older
1019,เขตตลิ่งชัน,female,83,243,80,65 years and older
1016,เขตบางกอกใหญ่,female,8,243,5,0 to 14 years
1016,เขตบางกอกใหญ่,male,73,243,70,65 years and older
1004,เขตบางรัก,female,37,243,35,15 to 64 years
1004,เขตบางรัก,male,28,243,25,15 to 64 years
1004,เขตบางรัก,male,52,243,50,15 to 64 years
1007,เขตปทุมวัน,female,72,243,70,65 years and older
1007,เขตปทุมวัน,male,60,243,60,15 to 64 years
1001,เขตพระนคร,male,19,243,15,15 to 64 years
1022,เขตภาษีเจริญ,male,77,243,75,65 years and older
1003,เขตหนองจอก,female,79,243,75,65 years and older
1018,เขตคลองสาน,female,78,242,75,65 years and older
1043,เขตคันนายาว,female,76,242,75,65 years and older
1026,เขตดินแดง,female,85,242,85,65 years and older
1002,เขตดุสิต,female,82,242,80,65 years and older
1002,เขตดุสิต,male,4,242,0,0 to 14 years
1004,เขตบางรัก,male,39,242,35,15 to 64 years
1007,เขตปทุมวัน,male,7,242,5,0 to 14 years
1007,เขตปทุมวัน,male,37,242,35,15 to 64 years
1007,เขตปทุมวัน,male,48,242,45,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,female,39,242,35,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,54,242,50,15 to 64 years
1012,เขตยานนาวา,male,2,242,0,0 to 14 years
1023,เขตหนองแขม,male,77,242,75,65 years and older
1033,เขตคลองเตย,male,75,241,75,65 years and older
1030,เขตจตุจักร,male,84,241,80,65 years and older
1035,เขตจอมทอง,male,80,241,80,65 years and older
1031,เขตบางคอแหลม,female,81,241,80,65 years and older
1031,เขตบางคอแหลม,male,76,241,75,65 years and older
1004,เขตบางรัก,male,62,241,60,15 to 64 years
1007,เขตปทุมวัน,male,62,241,60,15 to 64 years
1012,เขตยานนาวา,male,1,241,0,0 to 14 years
1037,เขตราชเทวี,male,12,241,10,0 to 14 years
1033,เขตคลองเตย,female,78,240,75,65 years and older
1004,เขตบางรัก,female,36,240,35,15 to 64 years
1004,เขตบางรัก,male,1,240,0,0 to 14 years
1027,เขตบึงกุ่ม,female,82,240,80,65 years and older
1008,เขตป้อมปราบศัตรูพ่าย,female,37,240,35,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,female,43,240,40,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,70,240,70,65 years and older
1028,เขตสาทร,male,5,240,5,0 to 14 years
1026,เขตดินแดง,male,79,239,75,65 years and older
1020,เขตบางกอกน้อย,male,79,239,75,65 years and older
1025,เขตบางพลัด,male,1,239,0,0 to 14 years
1007,เขตปทุมวัน,male,35,239,35,15 to 64 years
1007,เขตปทุมวัน,male,36,239,35,15 to 64 years
1001,เขตพระนคร,female,36,239,35,15 to 64 years
1001,เขตพระนคร,male,18,239,15,15 to 64 years
1017,เขตห้วยขวาง,female,76,239,75,65 years and older
1016,เขตบางกอกใหญ่,female,78,238,75,65 years and older
1047,เขตบางนา,female,79,238,75,65 years and older
1047,เขตบางนา,male,1,238,0,0 to 14 years
1025,เขตบางพลัด,male,77,238,75,65 years and older
1004,เขตบางรัก,female,35,238,35,15 to 64 years
1004,เขตบางรัก,male,32,238,30,15 to 64 years
1007,เขตปทุมวัน,male,49,238,45,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,60,238,60,15 to 64 years
1014,เขตพญาไท,female,76,238,75,65 years and older
1001,เขตพระนคร,male,72,238,70,65 years and older
1039,เขตวัฒนา,female,81,238,80,65 years and older
1044,เขตสะพานสูง,male,75,238,75,65 years and older
1015,เขตธนบุรี,female,0,237,0,0 to 14 years
1015,เขตธนบุรี,male,76,237,75,65 years and older
1015,เขตธนบุรี,male,78,237,75,65 years and older
1005,เขตบางเขน,female,86,237,85,65 years and older
1006,เขตบางกะปิ,male,77,237,75,65 years and older
1014,เขตพญาไท,female,3,237,0,0 to 14 years
1037,เขตราชเทวี,female,2,237,0,0 to 14 years
1038,เขตลาดพร้าว,male,79,237,75,65 years and older
1042,เขตสายไหม,male,80,237,80,65 years and older
1030,เขตจตุจักร,male,82,236,80,65 years and older
1019,เขตตลิ่งชัน,male,0,236,0,0 to 14 years
1048,เขตทวีวัฒนา,male,74,236,70,65 years and older
1016,เขตบางกอกใหญ่,female,13,236,10,0 to 14 years
1021,เขตบางขุนเทียน,male,78,236,75,65 years and older
1004,เขตบางรัก,male,58,236,55,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,56,236,55,15 to 64 years
1014,เขตพญาไท,female,77,236,75,65 years and older
1001,เขตพระนคร,male,40,236,40,15 to 64 years
1017,เขตห้วยขวาง,female,79,236,75,65 years and older
1043,เขตคันนายาว,male,73,235,70,65 years and older
1016,เขตบางกอกใหญ่,male,13,235,10,0 to 14 years
1047,เขตบางนา,female,77,235,75,65 years and older
1004,เขตบางรัก,female,25,234,25,15 to 64 years
1004,เขตบางรัก,female,34,234,30,15 to 64 years
1004,เขตบางรัก,male,50,234,50,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,25,234,25,15 to 64 years
1028,เขตสาทร,female,83,234,80,65 years and older
1042,เขตสายไหม,male,81,234,80,65 years and older
1041,เขตหลักสี่,male,79,234,75,65 years and older
1016,เขตบางกอกใหญ่,female,12,233,10,0 to 14 years
1006,เขตบางกะปิ,female,85,233,85,65 years and older
1004,เขตบางรัก,female,28,233,25,15 to 64 years
1004,เขตบางรัก,female,29,233,25,15 to 64 years
1004,เขตบางรัก,female,33,233,30,15 to 64 years
1004,เขตบางรัก,male,30,233,30,15 to 64 years
1004,เขตบางรัก,male,59,233,55,15 to 64 years
1004,เขตบางรัก,male,63,233,60,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,9,233,5,0 to 14 years
1001,เขตพระนคร,female,24,233,20,15 to 64 years
1001,เขตพระนคร,female,29,233,25,15 to 64 years
1001,เขตพระนคร,male,31,233,30,15 to 64 years
1037,เขตราชเทวี,female,75,233,75,65 years and older
1023,เขตหนองแขม,female,83,233,80,65 years and older
1003,เขตหนองจอก,female,81,233,80,65 years and older
1041,เขตหลักสี่,female,84,233,80,65 years and older
1018,เขตคลองสาน,male,75,232,75,65 years and older
1030,เขตจตุจักร,male,85,232,85,65 years and older
1036,เขตดอนเมือง,female,83,232,80,65 years and older
1019,เขตตลิ่งชัน,male,78,232,75,65 years and older
1004,เขตบางรัก,male,37,232,35,15 to 64 years
1004,เขตบางรัก,male,54,232,50,15 to 64 years
1007,เขตปทุมวัน,male,17,232,15,15 to 64 years
1032,เขตประเวศ,female,84,232,80,65 years and older
1009,เขตพระโขนง,male,75,232,75,65 years and older
1045,เขตวังทองหลาง,female,83,232,80,65 years and older
1039,เขตวัฒนา,female,80,232,80,65 years and older
1017,เขตห้วยขวาง,female,78,232,75,65 years and older
1002,เขตดุสิต,male,77,231,75,65 years and older
1048,เขตทวีวัฒนา,female,77,231,75,65 years and older
1016,เขตบางกอกใหญ่,male,74,231,70,65 years and older
1047,เขตบางนา,female,1,231,0,0 to 14 years
1050,เขตบางบอน,female,76,231,75,65 years and older
1004,เขตบางรัก,male,2,231,0,0 to 14 years
1007,เขตปทุมวัน,female,6,231,5,0 to 14 years
1007,เขตปทุมวัน,male,23,231,20,15 to 64 years
1007,เขตปทุมวัน,male,65,231,65,65 years and older
1008,เขตป้อมปราบศัตรูพ่าย,female,34,231,30,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,41,231,40,15 to 64 years
